,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170002,22.0,31.0,-16.0,27.0,13.0,55.0,-88.0,-3.0,-24.0,67.0,-38.0,-35.0,37.0,7.0,1.0,53.0,-79.0,80.0,-119.0,54.0,32.0,111.0,-146.0,-20.0,16.0,-51.0,78.0,-132.0,-5.0,16.0,-44.0,-60.0,-48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
170004,82.0,21.0,51.0,-12.0,-92.0,-6.0,-48.0,94.0,4.0,-3.0,17.0,-102.0,91.0,2.0,-15.0,55.0,-25.0,9.0,-15.0,-6.0,19.0,2.0,19.0,64.0,-45.0,-17.0,-10.0,24.0,1.0,-81.0,-30.0,-67.0,42.0,27.0,-93.0,-22.0,48.0,34.0,12.0,-53.0,-10.0,25.0,54.0,-57.0,21.0,32.0,-76.0,150.0,-73.0,7.0,15.0,,,,,,,,,
170006,92.0,-26.0,15.0,-77.0,27.0,46.0,-96.0,102.0,10.0,9.0,-193.0,-81.0,152.0,1.0,-19.0,-236.0,45.0,-27.0,-34.0,-6.0,110.0,16.0,29.0,43.0,-80.0,-80.0,38.0,31.0,6.0,-43.0,171.0,-11.0,29.0,-59.0,-11.0,155.0,-55.0,-31.0,20.0,13.0,34.0,-60.0,-29.0,24.0,8.0,16.0,2.0,-6.0,43.0,21.0,-77.0,-39.0,-72.0,40.0,-44.0,37.0,-52.0,29.0,2.0,71.0
170008,-384.0,45.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170010,81.0,-11.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170012,-4.0,9.0,54.0,63.0,-57.0,0.0,-61.0,127.0,-56.0,26.0,-18.0,117.0,-84.0,-4.0,31.0,31.0,11.0,-10.0,-27.0,75.0,-172.0,9.0,76.0,3.0,-38.0,25.0,57.0,-38.0,21.0,65.0,63.0,-84.0,38.0,-89.0,-101.0,102.0,-50.0,138.0,-26.0,,,,,,,,,,,,,,,,,,,,,
170013,-21.0,-19.0,5.0,114.0,-103.0,22.0,-32.0,-2.0,-40.0,-6.0,-8.0,57.0,-89.0,-3.0,168.0,38.0,-28.0,46.0,34.0,-47.0,-72.0,25.0,-57.0,132.0,-66.0,32.0,-81.0,-19.0,-32.0,-23.0,-84.0,-48.0,190.0,22.0,226.0,-167.0,31.0,18.0,6.0,88.0,-82.0,20.0,-3.0,22.0,63.0,-20.0,-216.0,-66.0,36.0,38.0,-36.0,10.0,-18.0,5.0,-11.0,-275.0,193.0,-77.0,96.0,-207.0
170015,213.0,-13.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170016,52.0,62.0,-44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170017,141.0,7.0,43.0,-19.0,-26.0,28.0,-41.0,34.0,-44.0,21.0,-78.0,79.0,-83.0,132.0,-11.0,-68.0,45.0,-62.0,122.0,58.0,-179.0,6.0,25.0,69.0,-77.0,-2.0,159.0,-49.0,-100.0,43.0,-70.0,27.0,22.0,50.0,-36.0,59.0,-56.0,11.0,-83.0,62.0,-66.0,-32.0,15.0,22.0,-40.0,-12.0,43.0,-19.0,21.0,32.0,23.0,-58.0,0.0,-3.0,-12.0,37.0,-33.0,42.0,-9.0,14.0
170018,-72.0,38.0,-40.0,32.0,-53.0,46.0,-17.0,-19.0,-147.0,101.0,36.0,78.0,-54.0,6.0,-142.0,49.0,-3.0,-180.0,23.0,65.0,-1.0,12.0,10.0,-20.0,47.0,-106.0,-24.0,47.0,0.0,-99.0,80.0,-2.0,98.0,25.0,107.0,-11.0,-23.0,-36.0,19.0,-150.0,82.0,-68.0,-2.0,41.0,185.0,-125.0,-33.0,-52.0,96.0,-15.0,27.0,-106.0,85.0,30.0,-49.0,37.0,-4.0,-16.0,26.0,-18.0
170019,111.0,-103.0,-46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170020,8.0,-48.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170022,51.0,-28.0,32.0,-357.0,-5.0,11.0,45.0,68.0,4.0,8.0,3.0,86.0,-36.0,-6.0,31.0,-3.0,1.0,4.0,15.0,17.0,116.0,-76.0,25.0,66.0,-5.0,-45.0,-14.0,76.0,-20.0,-42.0,38.0,9.0,48.0,-6.0,83.0,-204.0,143.0,-45.0,-16.0,,,,,,,,,,,,,,,,,,,,,
170024,-19.0,-16.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170029,48.0,8.0,28.0,-48.0,36.0,-62.0,4.0,30.0,-48.0,3.0,35.0,45.0,-51.0,-6.0,-6.0,39.0,61.0,-92.0,-6.0,-2.0,38.0,13.0,-108.0,14.0,-13.0,23.0,-57.0,27.0,-55.0,39.0,2.0,-19.0,4.0,33.0,15.0,-35.0,91.0,-53.0,63.0,,,,,,,,,,,,,,,,,,,,,
170031,-50.0,0.0,11.0,-9.0,24.0,40.0,100.0,-136.0,69.0,-23.0,-17.0,145.0,-130.0,-22.0,103.0,-103.0,-49.0,-7.0,-66.0,3.0,2.0,147.0,-127.0,-130.0,103.0,57.0,-76.0,39.0,8.0,4.0,8.0,20.0,-28.0,5.0,-6.0,16.0,36.0,-10.0,-95.0,-173.0,145.0,-63.0,2.0,17.0,10.0,-37.0,-54.0,56.0,34.0,-42.0,33.0,-27.0,31.0,8.0,5.0,30.0,12.0,20.0,99.0,-78.0
170034,-177.0,19.0,9.0,3.0,17.0,-40.0,52.0,-34.0,-5.0,-15.0,-3.0,-12.0,-55.0,81.0,26.0,-23.0,-13.0,38.0,36.0,-83.0,-42.0,79.0,-115.0,59.0,27.0,-46.0,37.0,58.0,-30.0,46.0,-64.0,94.0,-40.0,50.0,-94.0,-158.0,10.0,-120.0,-104.0,-62.0,137.0,180.0,-3.0,2.0,11.0,-18.0,37.0,-98.0,58.0,23.0,13.0,-75.0,74.0,1.0,-23.0,22.0,-49.0,-19.0,27.0,4.0
170036,-192.0,-18.0,21.0,-32.0,75.0,-84.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170037,-45.0,18.0,17.0,36.0,10.0,-37.0,-36.0,132.0,-175.0,37.0,-34.0,145.0,89.0,-55.0,-51.0,71.0,-44.0,-5.0,50.0,-19.0,-415.0,2.0,-2.0,125.0,-118.0,34.0,0.0,-19.0,59.0,-85.0,70.0,-66.0,1.0,34.0,25.0,5.0,-28.0,67.0,48.0,58.0,-24.0,29.0,58.0,5.0,-8.0,0.0,63.0,-12.0,73.0,4.0,-24.0,-11.0,-40.0,105.0,-37.0,47.0,-51.0,-26.0,43.0,-57.0
170038,-120.0,-19.0,34.0,43.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170043,-35.0,-11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170049,162.0,13.0,-1.0,43.0,-11.0,-34.0,44.0,-52.0,45.0,-1.0,23.0,73.0,-151.0,12.0,-32.0,-120.0,64.0,83.0,-152.0,-69.0,20.0,-31.0,-2.0,-153.0,-63.0,-131.0,75.0,-78.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170055,,66.0,68.0,13.0,103.0,37.0,-7.0,28.0,-67.0,34.0,-14.0,70.0,-39.0,-37.0,101.0,-29.0,-20.0,-21.0,13.0,10.0,24.0,-7.0,13.0,11.0,-55.0,14.0,29.0,44.0,-55.0,-46.0,102.0,15.0,-16.0,-18.0,38.0,-44.0,75.0,-27.0,48.0,,,,,,,,,,,,,,,,,,,,,
170057,,-9.0,2.0,-10.0,11.0,5.0,0.0,-13.0,3.0,-3.0,7.0,80.0,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170061,,,36.0,107.0,18.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170064,,,,,,116.0,228.0,29.0,-113.0,-7.0,42.0,37.0,-53.0,34.0,93.0,-8.0,5.0,32.0,-5.0,-1.0,-76.0,-23.0,-36.0,8.0,-75.0,212.0,0.0,-15.0,-64.0,32.0,-46.0,0.0,5.0,-36.0,-36.0,-83.0,-1.0,37.0,5.0,16.0,11.0,-24.0,-44.0,-12.0,9.0,-80.0,105.0,-38.0,125.0,15.0,-31.0,8.0,-43.0,22.0,7.0,-32.0,-34.0,44.0,5.0,4.0
170066,,,,,,-7.0,36.0,-43.0,2.0,-1.0,9.0,244.0,13.0,24.0,-127.0,72.0,-107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170068,,,,,,110.0,79.0,-52.0,149.0,66.0,-10.0,46.0,-38.0,-7.0,25.0,13.0,-7.0,2.0,-23.0,7.0,-1.0,-41.0,80.0,-131.0,112.0,38.0,-152.0,-14.0,107.0,-98.0,6.0,-12.0,-90.0,-16.0,43.0,51.0,-18.0,17.0,33.0,-54.0,44.0,-68.0,7.0,-52.0,149.0,-9.0,-2.0,10.0,9.0,134.0,-40.0,57.0,198.0,-225.0,62.0,7.0,230.0,-163.0,-3.0,49.0
170081,,,,,,,,,-29.0,-1.0,-1.0,225.0,6.0,-26.0,110.0,-10.0,-32.0,4.0,18.0,9.0,20.0,33.0,-26.0,-137.0,21.0,8.0,23.0,-88.0,246.0,-2.0,65.0,-56.0,49.0,17.0,156.0,-192.0,-58.0,-100.0,-45.0,147.0,-17.0,37.0,-41.0,-38.0,24.0,35.0,0.0,30.0,2.0,28.0,-53.0,22.0,116.0,-23.0,33.0,-37.0,13.0,-64.0,16.0,-49.0
170099,,,,,,,,,,,5.0,3.0,267.0,-297.0,193.0,-53.0,84.0,14.0,3.0,14.0,98.0,50.0,11.0,-72.0,142.0,18.0,-15.0,-33.0,50.0,5.0,-13.0,8.0,-25.0,41.0,-31.0,-10.0,0.0,-42.0,93.0,-50.0,105.0,-18.0,20.0,-14.0,-104.0,82.0,10.0,65.0,-36.0,60.0,-20.0,-12.0,0.0,-140.0,-13.0,-222.0,-65.0,192.0,-18.0,26.0
170101,,,,,,,,,,,144.0,-66.0,-22.0,-48.0,-1.0,56.0,141.0,-112.0,27.0,42.0,-7.0,45.0,49.0,58.0,-2.0,-6.0,1.0,63.0,-54.0,-29.0,-5.0,80.0,-68.0,0.0,15.0,-60.0,30.0,19.0,19.0,47.0,150.0,17.0,57.0,-43.0,-104.0,85.0,-26.0,75.0,-122.0,-33.0,-309.0,-57.0,-8.0,8.0,-8.0,-29.0,-7.0,90.0,2.0,-84.0
170104,,,,,,,,,,,,,,54.0,9.0,58.0,39.0,-6.0,73.0,-31.0,86.0,0.0,-33.0,17.0,-56.0,42.0,-24.0,77.0,-1.0,-34.0,22.0,-122.0,52.0,14.0,41.0,2.0,17.0,39.0,-12.0,81.0,-55.0,3.0,-1.0,8.0,1.0,-8.0,11.0,-10.0,17.0,10.0,-10.0,-15.0,26.0,-14.0,-3.0,,,,,
170105,,,,,,,,,,,,,,77.0,25.0,118.0,-103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170107,,,,,,,,,,,,,,-6.0,4.0,140.0,44.0,1.0,-127.0,245.0,48.0,-94.0,137.0,-182.0,51.0,-26.0,9.0,29.0,35.0,-29.0,1.0,13.0,-48.0,-81.0,77.0,-68.0,111.0,-24.0,48.0,-53.0,-36.0,35.0,8.0,-10.0,9.0,-163.0,53.0,,,,,,,,,,,,,
170108,,,,,,,,,,,,,,-11.0,3.0,62.0,13.0,40.0,21.0,-37.0,-29.0,-73.0,61.0,-19.0,-47.0,13.0,5.0,-13.0,212.0,23.0,10.0,-52.0,72.0,80.0,-51.0,-258.0,75.0,-66.0,17.0,59.0,-31.0,36.0,29.0,-36.0,-89.0,53.0,12.0,-92.0,138.0,-21.0,27.0,-151.0,40.0,41.0,14.0,-35.0,94.0,-19.0,4.0,-103.0
170112,,,,,,,,,,,,,,66.0,23.0,-20.0,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170114,,,,,,,,,,,,,,-86.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
