,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90001,13.0,-21.0,8.0,-124.0,157.0,5.0,19.0,-38.0,47.0,-146.0,1.0,-33.0,207.0,-176.0,6.0,129.0,-170.0,1.0,-8.0,228.0,18.0,7.0,-258.0,-43.0,46.0,281.0,-281.0,-27.0,-156.0,60.0,40.0,16.0,16.0,-7.0,85.0,-76.0,42.0,22.0,35.0,20.0,-52.0,18.0,3.0,-20.0,4.0,8.0,-2.0,-7.0,12.0,0.0,-21.0,-12.0,28.0,10.0,7.0,-4.0,-30.0,-19.0,-60.0,93.0
90002,87.0,-13.0,-16.0,-16.0,12.0,32.0,-18.0,-33.0,30.0,19.0,2.0,-51.0,77.0,-25.0,21.0,-25.0,1.0,-15.0,18.0,1.0,-21.0,27.0,11.0,-83.0,45.0,1.0,20.0,-44.0,29.0,30.0,-14.0,75.0,-69.0,27.0,-13.0,41.0,-9.0,-120.0,21.0,4.0,31.0,30.0,-57.0,23.0,-22.0,-23.0,37.0,-16.0,15.0,-61.0,-13.0,-8.0,12.0,1.0,22.0,-61.0,20.0,25.0,4.0,32.0
90003,57.0,9.0,-9.0,-13.0,10.0,1.0,1.0,-34.0,57.0,-2.0,-8.0,29.0,-34.0,-14.0,25.0,-83.0,64.0,4.0,12.0,1.0,-16.0,12.0,-2.0,-23.0,2.0,14.0,-8.0,-56.0,61.0,-4.0,15.0,3.0,-10.0,-7.0,18.0,-8.0,2.0,-13.0,-15.0,-87.0,-79.0,-27.0,34.0,-54.0,2.0,60.0,-44.0,-48.0,13.0,11.0,77.0,-2.0,34.0,7.0,-45.0,36.0,-7.0,9.0,-15.0,-15.0
90004,57.0,-7.0,-3.0,-9.0,-1.0,17.0,-20.0,-31.0,37.0,9.0,3.0,-41.0,54.0,-5.0,-17.0,-21.0,42.0,-12.0,-6.0,14.0,-7.0,-1.0,10.0,-26.0,16.0,18.0,-13.0,-1.0,31.0,-7.0,-16.0,-10.0,23.0,-25.0,28.0,-100.0,80.0,29.0,-30.0,-72.0,98.0,10.0,-11.0,-20.0,7.0,-16.0,5.0,12.0,-2.0,13.0,-43.0,13.0,29.0,65.0,-20.0,-45.0,-8.0,-2.0,1.0,23.0
90006,31.0,12.0,-8.0,-11.0,28.0,10.0,-15.0,-26.0,54.0,5.0,-41.0,2.0,19.0,7.0,8.0,37.0,-63.0,40.0,-4.0,-25.0,-9.0,32.0,-11.0,-1.0,-7.0,7.0,4.0,4.0,5.0,6.0,-13.0,-7.0,4.0,1.0,1.0,18.0,-28.0,-20.0,13.0,25.0,-43.0,6.0,34.0,-29.0,-3.0,4.0,-20.0,-12.0,-8.0,1.0,-3.0,-12.0,18.0,-1.0,-6.0,-2.0,4.0,18.0,-20.0,6.0
90007,13.0,6.0,-5.0,-40.0,58.0,-5.0,19.0,43.0,-60.0,4.0,-8.0,33.0,-14.0,-20.0,12.0,-19.0,2.0,-17.0,16.0,-13.0,13.0,-19.0,33.0,-55.0,53.0,-11.0,-11.0,-9.0,5.0,-5.0,5.0,-19.0,19.0,-7.0,2.0,94.0,-108.0,0.0,35.0,88.0,-115.0,-5.0,-11.0,22.0,-12.0,10.0,-2.0,-2.0,6.0,-1.0,-3.0,4.0,-8.0,-9.0,18.0,3.0,-23.0,15.0,-2.0,-3.0
90008,119.0,-38.0,50.0,-13.0,2.0,6.0,-7.0,-24.0,57.0,7.0,10.0,-92.0,61.0,27.0,-6.0,-82.0,56.0,11.0,-8.0,20.0,-28.0,-8.0,19.0,-26.0,6.0,12.0,1.0,-17.0,27.0,6.0,8.0,-1.0,-4.0,-13.0,22.0,-104.0,93.0,-30.0,13.0,-35.0,28.0,3.0,6.0,-25.0,38.0,-43.0,-25.0,-8.0,0.0,37.0,-15.0,13.0,-9.0,25.0,6.0,-38.0,-6.0,25.0,-39.0,18.0
90010,52.0,22.0,34.0,4.0,16.0,2.0,7.0,-31.0,37.0,43.0,-13.0,-14.0,38.0,8.0,35.0,-51.0,42.0,13.0,4.0,11.0,12.0,-44.0,13.0,-21.0,50.0,-19.0,-5.0,-46.0,55.0,-6.0,-24.0,16.0,19.0,15.0,-10.0,-67.0,62.0,-24.0,15.0,2.0,20.0,-24.0,5.0,61.0,-34.0,3.0,-29.0,-14.0,-34.0,10.0,6.0,12.0,-4.0,78.0,2.0,-14.0,4.0,-7.0,32.0,-38.0
90011,60.0,-3.0,41.0,-35.0,48.0,11.0,5.0,-43.0,78.0,2.0,23.0,-21.0,66.0,24.0,4.0,-33.0,51.0,-7.0,28.0,8.0,43.0,14.0,27.0,-126.0,-7.0,15.0,-9.0,12.0,12.0,-59.0,32.0,-31.0,16.0,-1.0,87.0,-120.0,87.0,-76.0,131.0,-86.0,-21.0,-59.0,80.0,-50.0,53.0,-31.0,-2.0,13.0,-13.0,20.0,-14.0,-34.0,40.0,-82.0,-12.0,-50.0,36.0,100.0,-102.0,49.0
90013,53.0,11.0,80.0,1.0,24.0,-3.0,18.0,-49.0,97.0,8.0,5.0,-50.0,70.0,13.0,30.0,-11.0,61.0,-2.0,4.0,-14.0,5.0,29.0,-11.0,-4.0,41.0,-15.0,62.0,-94.0,73.0,-38.0,-17.0,-41.0,27.0,-19.0,8.0,-7.0,-20.0,1.0,43.0,48.0,-27.0,23.0,6.0,-36.0,1.0,-18.0,74.0,-53.0,-41.0,22.0,-42.0,-165.0,-30.0,7.0,-38.0,88.0,-17.0,-6.0,36.0,-81.0
90014,88.0,22.0,-26.0,-29.0,16.0,5.0,-15.0,-73.0,82.0,32.0,-34.0,-39.0,52.0,20.0,18.0,-54.0,30.0,-2.0,16.0,-26.0,5.0,34.0,-12.0,-67.0,49.0,-49.0,-28.0,-16.0,-8.0,-29.0,-13.0,12.0,8.0,-7.0,28.0,-17.0,-105.0,-3.0,-30.0,76.0,-30.0,19.0,-34.0,-22.0,-145.0,64.0,-48.0,20.0,27.0,20.0,14.0,14.0,-16.0,-6.0,8.0,11.0,65.0,17.0,-12.0,-107.0
90015,83.0,-17.0,0.0,15.0,-8.0,48.0,-26.0,-50.0,60.0,-4.0,-41.0,23.0,7.0,20.0,14.0,-53.0,41.0,-2.0,30.0,8.0,2.0,-3.0,-37.0,-16.0,-16.0,-32.0,5.0,3.0,17.0,32.0,23.0,6.0,14.0,21.0,-36.0,-10.0,26.0,14.0,-28.0,-55.0,45.0,-5.0,-27.0,-14.0,-9.0,-8.0,17.0,-8.0,81.0,-53.0,-3.0,-31.0,33.0,14.0,-8.0,22.0,30.0,24.0,-19.0,5.0
90017,-18.0,-1.0,-6.0,17.0,100.0,-83.0,11.0,16.0,-250.0,60.0,13.0,-39.0,40.0,0.0,44.0,-48.0,30.0,36.0,-38.0,-20.0,80.0,-10.0,-32.0,-8.0,60.0,-5.0,-15.0,18.0,12.0,-29.0,8.0,8.0,11.0,-14.0,15.0,-3.0,26.0,-10.0,20.0,57.0,-43.0,10.0,30.0,6.0,-4.0,24.0,-42.0,-1.0,35.0,-22.0,11.0,-158.0,80.0,-49.0,30.0,,,,,
90018,84.0,-19.0,9.0,-17.0,30.0,5.0,-5.0,-15.0,42.0,-11.0,6.0,-30.0,66.0,2.0,-24.0,-66.0,53.0,-29.0,28.0,-15.0,5.0,-13.0,14.0,-52.0,35.0,7.0,-16.0,-13.0,28.0,-9.0,3.0,11.0,19.0,3.0,7.0,-147.0,136.0,-58.0,-25.0,5.0,3.0,10.0,-20.0,25.0,17.0,-11.0,12.0,9.0,-16.0,-6.0,-18.0,15.0,19.0,-16.0,-1.0,-25.0,34.0,2.0,23.0,-2.0
90019,42.0,-4.0,-20.0,25.0,1.0,46.0,-11.0,-11.0,23.0,22.0,-9.0,-22.0,66.0,40.0,-20.0,-60.0,63.0,5.0,-29.0,-29.0,19.0,8.0,-4.0,-22.0,17.0,-24.0,-8.0,1.0,52.0,-3.0,-16.0,30.0,-15.0,23.0,21.0,4.0,-55.0,-76.0,33.0,31.0,-9.0,37.0,-47.0,37.0,-13.0,0.0,6.0,-2.0,27.0,36.0,-2.0,-6.0,-3.0,-36.0,-16.0,26.0,-6.0,-12.0,-2.0,-40.0
90021,-120.0,139.0,-76.0,-52.0,120.0,-72.0,-50.0,39.0,61.0,-115.0,130.0,103.0,-99.0,-53.0,-16.0,158.0,-170.0,102.0,28.0,-22.0,-21.0,-138.0,-7.0,-2.0,132.0,-124.0,101.0,95.0,-175.0,58.0,-3.0,0.0,-26.0,-24.0,26.0,222.0,-275.0,-79.0,15.0,,,,,,,,,,,,,,,,,,,,,
90023,51.0,-11.0,21.0,-110.0,13.0,21.0,-6.0,-1.0,27.0,26.0,-27.0,-31.0,60.0,-18.0,20.0,83.0,-97.0,-12.0,18.0,-24.0,22.0,24.0,-60.0,25.0,-5.0,-9.0,27.0,-9.0,-171.0,9.0,-7.0,17.0,-3.0,19.0,34.0,-26.0,-38.0,21.0,15.0,60.0,-69.0,1.0,-149.0,11.0,6.0,13.0,39.0,21.0,22.0,-20.0,43.0,84.0,58.0,-15.0,9.0,33.0,-8.0,12.0,-30.0,10.0
90025,11.0,-7.0,3.0,-9.0,2.0,23.0,-17.0,24.0,15.0,12.0,-16.0,-9.0,32.0,-7.0,19.0,-42.0,24.0,37.0,-7.0,-27.0,34.0,-3.0,-29.0,104.0,-34.0,-9.0,-26.0,-78.0,69.0,-5.0,-8.0,-20.0,8.0,1.0,-11.0,-42.0,50.0,145.0,28.0,-2.0,15.0,39.0,-28.0,11.0,-57.0,28.0,40.0,-15.0,-22.0,-6.0,-8.0,19.0,13.0,17.0,-35.0,-17.0,31.0,-19.0,15.0,25.0
90028,-350.0,41.0,-13.0,-3.0,5.0,37.0,45.0,11.0,-8.0,9.0,60.0,-27.0,2.0,-7.0,4.0,-59.0,87.0,-57.0,16.0,10.0,3.0,30.0,-11.0,26.0,24.0,2.0,-52.0,142.0,16.0,8.0,-11.0,-6.0,31.0,-16.0,-17.0,-3.0,-5.0,-18.0,-257.0,,,,,,,,,,,,,,,,,,,,,
90029,41.0,-17.0,-1.0,41.0,-24.0,25.0,3.0,-26.0,25.0,6.0,-17.0,-19.0,12.0,38.0,5.0,-55.0,44.0,-17.0,22.0,-16.0,43.0,-19.0,25.0,-22.0,50.0,-15.0,3.0,15.0,12.0,-11.0,22.0,-32.0,54.0,-17.0,4.0,-22.0,11.0,-31.0,24.0,-3.0,-58.0,-6.0,0.0,33.0,-9.0,-3.0,29.0,-24.0,-47.0,71.0,20.0,-61.0,24.0,30.0,-26.0,35.0,-34.0,-11.0,18.0,46.0
90030,15.0,-15.0,10.0,-35.0,6.0,25.0,-31.0,27.0,17.0,-15.0,7.0,1.0,-3.0,1.0,-1.0,10.0,-10.0,87.0,-67.0,-8.0,-12.0,5.0,-2.0,6.0,-4.0,-4.0,3.0,3.0,38.0,-42.0,12.0,-31.0,16.0,14.0,2.0,-26.0,23.0,37.0,-70.0,-12.0,-19.0,47.0,-7.0,-27.0,12.0,83.0,-89.0,5.0,-161.0,74.0,-2.0,59.0,-27.0,-6.0,-5.0,54.0,-17.0,19.0,26.0,-16.0
90031,48.0,-3.0,-25.0,-18.0,42.0,10.0,30.0,3.0,6.0,-12.0,17.0,12.0,-30.0,29.0,21.0,8.0,-9.0,-7.0,16.0,13.0,-8.0,25.0,5.0,39.0,-3.0,-10.0,10.0,41.0,22.0,-28.0,20.0,10.0,14.0,-15.0,-28.0,7.0,-19.0,-66.0,18.0,23.0,-5.0,-21.0,47.0,-14.0,-5.0,24.0,19.0,-7.0,-24.0,-1.0,13.0,-22.0,-14.0,17.0,4.0,4.0,-3.0,21.0,-3.0,-33.0
90032,63.0,5.0,-25.0,-108.0,94.0,16.0,-26.0,2.0,10.0,2.0,7.0,-19.0,23.0,9.0,-1.0,-29.0,26.0,-33.0,26.0,-60.0,66.0,-10.0,3.0,4.0,-10.0,8.0,2.0,0.0,6.0,-3.0,-14.0,21.0,28.0,-40.0,8.0,-7.0,-42.0,-23.0,-52.0,32.0,-6.0,-14.0,-20.0,49.0,6.0,-13.0,67.0,-11.0,1.0,-39.0,2.0,-26.0,10.0,3.0,53.0,-57.0,-45.0,61.0,-21.0,64.0
90033,17.0,-14.0,33.0,9.0,-9.0,12.0,-33.0,-7.0,25.0,-10.0,0.0,4.0,12.0,-6.0,-8.0,3.0,-19.0,-1.0,-8.0,15.0,10.0,10.0,17.0,-27.0,-9.0,-19.0,32.0,4.0,0.0,19.0,-17.0,-19.0,12.0,5.0,2.0,-6.0,6.0,-23.0,-54.0,,,,,,,,,,,,,,,,,,,,,
90036,13.0,-2.0,-13.0,-25.0,-2.0,9.0,-17.0,20.0,-59.0,31.0,8.0,43.0,-5.0,-35.0,-1.0,5.0,11.0,-42.0,38.0,39.0,-5.0,22.0,-43.0,-11.0,19.0,-16.0,28.0,-70.0,0.0,-4.0,25.0,1.0,-16.0,-4.0,25.0,-56.0,38.0,-3.0,24.0,-4.0,27.0,-40.0,100.0,-49.0,-7.0,0.0,10.0,-32.0,28.0,2.0,-33.0,-10.0,19.0,1.0,14.0,6.0,-8.0,24.0,-28.0,-14.0
