,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,-22.0,34.0,-12.0,17.0,-21.0,35.0,-7.0,-23.0,5.0,46.0,-30.0,27.0,-24.0,19.0,-9.0,-9.0,12.0,12.0,-9.0,17.0,-24.0,21.0,3.0,-22.0,-4.0,20.0,-8.0,1.0,14.0,16.0,-12.0,-19.0,87.0,-68.0,6.0,-30.0,4.0,198.0,-75.0,-3.0,-5.0,110.0,-105.0,8.0,32.0,-39.0,25.0,27.0,-45.0,9.0,0.0,-15.0,-10.0,47.0,13.0,-24.0,-350.0,259.0,-148.0,78.0
10003,-22.0,-58.0,-25.0,47.0,223.0,-231.0,19.0,-1.0,157.0,-80.0,-87.0,3.0,65.0,-45.0,-2.0,45.0,-93.0,35.0,-4.0,-25.0,23.0,-26.0,95.0,-53.0,127.0,-165.0,18.0,15.0,-26.0,150.0,-109.0,-12.0,194.0,-210.0,123.0,-154.0,82.0,138.0,7.0,52.0,-26.0,-7.0,-17.0,0.0,56.0,-85.0,-2.0,16.0,23.0,4.0,-18.0,-13.0,-35.0,73.0,5.0,28.0,-10.0,12.0,-9.0,-5.0
10004,-33.0,41.0,1.0,26.0,-50.0,41.0,13.0,-2.0,-53.0,46.0,10.0,18.0,-11.0,10.0,-1.0,-11.0,9.0,21.0,-1.0,6.0,-61.0,56.0,-21.0,16.0,-2.0,14.0,-17.0,14.0,-10.0,22.0,0.0,-5.0,-59.0,67.0,12.0,-4.0,-49.0,8.0,-56.0,27.0,-81.0,-142.0,69.0,80.0,-43.0,-53.0,114.0,19.0,-266.0,,,,,,,,,,,
10005,-49.0,53.0,7.0,1.0,-35.0,44.0,9.0,10.0,-16.0,42.0,0.0,6.0,-4.0,34.0,-17.0,11.0,16.0,-9.0,10.0,32.0,-40.0,48.0,-32.0,48.0,-22.0,38.0,2.0,30.0,-6.0,4.0,8.0,-2.0,-15.0,105.0,-14.0,-23.0,-28.0,22.0,-29.0,10.0,-61.0,50.0,9.0,19.0,-24.0,-18.0,2.0,18.0,-2.0,6.0,4.0,1.0,-8.0,29.0,-19.0,-1.0,37.0,-34.0,-1.0,72.0
10007,85.0,-101.0,14.0,26.0,-3.0,-9.0,12.0,15.0,129.0,-129.0,19.0,-12.0,62.0,-43.0,-31.0,106.0,-89.0,6.0,-12.0,38.0,-85.0,35.0,0.0,30.0,13.0,1.0,-12.0,-16.0,15.0,-8.0,7.0,5.0,71.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10008,-27.0,22.0,7.0,-17.0,-27.0,54.0,8.0,-10.0,2.0,-5.0,-15.0,38.0,-12.0,22.0,10.0,-21.0,3.0,31.0,-23.0,34.0,-62.0,50.0,-11.0,32.0,7.0,20.0,-24.0,35.0,5.0,-8.0,0.0,14.0,-64.0,97.0,-57.0,23.0,-33.0,-12.0,-13.0,-9.0,12.0,-13.0,20.0,-1.0,41.0,4.0,-33.0,8.0,-48.0,46.0,-4.0,25.0,-19.0,27.0,-32.0,-13.0,30.0,-47.0,9.0,14.0
10010,148.0,-144.0,-40.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,-65.0,132.0,22.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015,3.0,4.0,53.0,-10.0,1.0,23.0,-3.0,134.0,-145.0,22.0,17.0,36.0,77.0,-86.0,-243.0,80.0,-87.0,12.0,79.0,-79.0,1.0,-14.0,66.0,-3.0,-30.0,-37.0,13.0,-25.0,32.0,284.0,-67.0,-21.0,14.0,-46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10019,72.0,-75.0,137.0,24.0,-18.0,-105.0,-24.0,76.0,-2.0,94.0,74.0,-56.0,-9.0,62.0,-44.0,50.0,-35.0,-19.0,5.0,36.0,-95.0,30.0,-67.0,123.0,-43.0,53.0,-34.0,37.0,-173.0,-1.0,8.0,-121.0,21.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10020,25.0,-36.0,-4.0,30.0,20.0,-52.0,35.0,38.0,-18.0,41.0,-53.0,28.0,89.0,-93.0,11.0,67.0,-73.0,180.0,-126.0,-9.0,-43.0,-76.0,101.0,27.0,-505.0,237.0,238.0,-195.0,-25.0,63.0,132.0,-63.0,16.0,-23.0,-35.0,-24.0,59.0,60.0,9.0,-26.0,-26.0,42.0,45.0,-57.0,-22.0,80.0,-11.0,104.0,-79.0,8.0,96.0,-24.0,-184.0,36.0,-218.0,-121.0,-17.0,216.0,135.0,-13.0
10024,-14.0,-15.0,58.0,-35.0,22.0,-6.0,-5.0,28.0,-29.0,1.0,-6.0,31.0,-65.0,51.0,13.0,-35.0,-15.0,70.0,-57.0,52.0,-30.0,3.0,18.0,-30.0,6.0,44.0,-69.0,34.0,-24.0,66.0,-4.0,-25.0,7.0,24.0,29.0,-72.0,28.0,84.0,5.0,-51.0,43.0,99.0,-92.0,-7.0,167.0,-158.0,-194.0,-126.0,-245.0,-43.0,71.0,167.0,104.0,78.0,-94.0,31.0,-14.0,122.0,-25.0,15.0
10025,68.0,-51.0,38.0,-27.0,11.0,-31.0,76.0,117.0,-240.0,136.0,53.0,-3.0,-8.0,-18.0,6.0,39.0,-9.0,-8.0,15.0,-356.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,0.0,-4.0,13.0,15.0,24.0,-38.0,7.0,13.0,-20.0,-2.0,-7.0,17.0,-21.0,26.0,-40.0,34.0,14.0,-25.0,-5.0,2.0,19.0,-4.0,1.0,-2.0,-14.0,1.0,6.0,7.0,-4.0,51.0,-32.0,-26.0,3.0,27.0,34.0,-58.0,28.0,32.0,-12.0,-28.0,19.0,-5.0,-3.0,-21.0,82.0,-51.0,7.0,-33.0,9.0,17.0,-7.0,-20.0,31.0,-27.0,8.0,-7.0,5.0,28.0,34.0,-66.0
10028,-28.0,-47.0,48.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,14.0,14.0,13.0,-15.0,5.0,-4.0,-5.0,48.0,-43.0,20.0,-41.0,40.0,47.0,-47.0,6.0,-14.0,-1.0,34.0,-13.0,-4.0,-4.0,-13.0,15.0,-15.0,19.0,0.0,-6.0,-9.0,55.0,-18.0,-17.0,-10.0,3.0,34.0,-29.0,1.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,
10032,-90.0,16.0,95.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10037,91.0,-97.0,32.0,-46.0,80.0,-87.0,-21.0,62.0,-15.0,-12.0,15.0,-66.0,-134.0,187.0,-29.0,10.0,1.0,43.0,-29.0,-287.0,-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039,78.0,-83.0,21.0,18.0,89.0,-48.0,34.0,-19.0,29.0,-79.0,54.0,-50.0,-316.0,57.0,-2.0,43.0,40.0,53.0,46.0,14.0,20.0,-39.0,49.0,55.0,-32.0,41.0,12.0,-8.0,-4.0,-4.0,-5.0,10.0,121.0,-138.0,24.0,-27.0,27.0,147.0,8.0,18.0,-37.0,39.0,-7.0,32.0,-27.0,20.0,-10.0,-1.0,-1.0,-17.0,1.0,0.0,3.0,37.0,-31.0,-4.0,25.0,-11.0,-38.0,16.0
10040,-46.0,55.0,-6.0,125.0,-118.0,53.0,-71.0,58.0,-93.0,53.0,162.0,-125.0,135.0,-64.0,-14.0,62.0,-16.0,99.0,-4.0,9.0,-252.0,118.0,-166.0,49.0,55.0,255.0,-262.0,-6.0,171.0,-117.0,147.0,-142.0,-58.0,16.0,203.0,-83.0,-160.0,-176.0,45.0,-88.0,-22.0,41.0,40.0,-74.0,-66.0,78.0,-89.0,-122.0,115.0,-20.0,123.0,-222.0,121.0,136.0,-2.0,3.0,-168.0,166.0,-188.0,-2.0
10047,-18.0,-19.0,-42.0,105.0,51.0,-98.0,147.0,-172.0,135.0,26.0,-29.0,-103.0,33.0,38.0,-27.0,55.0,22.0,34.0,-70.0,2.0,24.0,1.0,-34.0,28.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,11.0,6.0,-224.0,-475.0,126.0,-78.0,79.0,48.0,5.0,106.0,19.0,30.0,63.0,0.0,-10.0,16.0,16.0,-6.0,31.0,29.0,52.0,-45.0,31.0,-382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053,-278.0,234.0,53.0,-20.0,-96.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055,46.0,-52.0,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058,80.0,8.0,-330.0,30.0,134.0,-98.0,-60.0,-23.0,-1.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059,49.0,-84.0,26.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064,61.0,-29.0,3.0,14.0,103.0,-139.0,38.0,0.0,10.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072,,-41.0,49.0,-6.0,86.0,-46.0,42.0,-24.0,105.0,-65.0,-33.0,23.0,-1.0,3.0,-4.0,-4.0,39.0,-7.0,13.0,57.0,-55.0,-7.0,-1.0,19.0,19.0,-28.0,12.0,16.0,13.0,-29.0,4.0,18.0,6.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10074,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087,,,,,,,45.0,30.0,-97.0,143.0,74.0,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090,,,,,,,28.0,25.0,56.0,-36.0,114.0,-45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10093,,,,,,,,,76.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102,,,,,,,,,,48.0,219.0,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110,,,,,,,,,,,,,,,-25.0,51.0,24.0,22.0,-32.0,35.0,19.0,36.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113,,,,,,,,,,,,,,,,90.0,-60.0,181.0,-86.0,19.0,-13.0,9.0,-5.0,52.0,-17.0,93.0,-32.0,-18.0,-44.0,87.0,-1.0,6.0,0.0,11.0,71.0,-59.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
10144,,,,,,,,,,,,,,,,,,,,,,,,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,41.0,-6.0,47.0,-13.0,21.0,66.0,-197.0,229.0,0.0,-162.0,135.0,139.0,14.0,-16.0,30.0,19.0,-7.0,-30.0,8.0,0.0,-81.0,-5.0,-45.0,-73.0,48.0,-3.0,-44.0,38.0,-32.0,-20.0,-20.0,21.0,38.0,-157.0
10153,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154,,,,,,,,,,,,,,,,,,,,,,,,,,,-165.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,-26.0,89.0,46.0,-11.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,-10.0,51.0,28.0,-1.0,80.0,59.0,23.0,-61.0,-107.0,86.0,-76.0,-30.0,14.0,-21.0,21.0,-36.0,219.0,-57.0,-32.0,-34.0,54.0,7.0,-11.0,12.0,7.0,-20.0,-162.0,-29.0,124.0,74.0,-203.0
10166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,56.0,46.0,9.0,55.0,-10.0,-49.0,71.0,-82.0,-136.0,53.0,150.0,-171.0,87.0,20.0,-20.0,-175.0,24.0,134.0,-120.0,65.0,-18.0,-66.0,114.0,39.0,-19.0,72.0,-2.0,-28.0,-6.0,-150.0,-1.0
