,ttest,ttest_p,TF,TF Plate,Row,Col
151.0,-19.0815529041304,1.847619267126598e-68,Ste12,1,G,7
39.0,-14.888250629979106,1.441302761731634e-43,Gal11,1,B,10
189.0,-13.121109332992999,1.4617188906817491e-36,Rtg3,1,H,4
5.0,-13.26443746644009,3.486140722058543e-36,Tbs1,1,A,5
41.0,-13.168801274011704,3.229435722733942e-35,Pdc2,1,B,8
146.0,-12.869741717249088,2.0296690445874333e-34,Dot6,1,G,2
150.0,-12.667605750263919,5.489009715436041e-34,Hcm1,1,G,6
191.0,-12.506268937894097,8.641719933406854e-33,Lap3,1,H,2
180.0,-12.37418777033308,9.638682803083865e-33,TOG1,2,H,1
8.0,-12.267995321057139,1.7189444395227452e-30,Swi4,1,A,8
57.0,-12.07131606118481,7.998429674229148e-29,Msn2,1,C,9
18.0,-11.82910653309874,9.442656911133076e-29,Opi1,2,A,6
43.0,-11.408202850617144,1.8990789874374788e-27,Cyc8,1,B,6
2.0,-11.831777413973192,3.1736967393141325e-27,Stb4,1,A,2
87.0,-11.423821897538373,5.082922429794722e-27,Tea1,1,D,10
33.0,-11.03634301270891,3.395188842688978e-26,Dig1,2,B,4
45.0,-10.780562994552398,8.187055496799153e-25,Sum1,1,B,4
94.0,-10.503967339317096,2.2486528146244096e-24,Tup1,1,D,3
17.0,-10.456363986763531,2.1049479338813813e-23,Mal13,2,A,5
177.0,-10.265152377568626,4.436205530431171e-23,RDR1,2,H,4
192.0,-10.170113584146252,7.003536781802438e-23,Ume1,1,H,1
162.0,-10.338340472184319,8.38672420445495e-23,RDS2,2,G,6
175.0,-10.100586702774645,1.513365501472654e-22,HAP4,2,H,6
164.0,-10.275733753211743,2.3546510788771564e-22,MSA2,2,G,8
50.0,-9.942531839561846,3.6258425293853086e-22,Ume6,1,C,2
30.0,-10.007265541501063,4.643878871967433e-22,Cbf1,2,B,7
42.0,-9.893841955463907,9.28194247992358e-22,Aro80,1,B,7
