,ttest,ttest_p,TF,TF Plate,Row,Col
151.0,-17.578437899888737,7.159199919279353e-59,Ste12,1,G,7
39.0,-12.75397525655464,3.95244525190296e-33,Gal11,1,B,10
189.0,-11.776596678980674,6.447335362427145e-30,Rtg3,1,H,4
41.0,-11.978414683959079,1.4584163254342744e-29,Pdc2,1,B,8
8.0,-11.793994828748703,4.692253781203301e-28,Swi4,1,A,8
146.0,-11.311907364557028,3.361570596273331e-27,Dot6,1,G,2
87.0,-10.875598452854497,1.1468217222026622e-24,Tea1,1,D,10
150.0,-10.522730575207033,2.61383454418067e-24,Hcm1,1,G,6
43.0,-10.754936140122071,2.844629119658394e-24,Cyc8,1,B,6
191.0,-10.518417548992408,5.3962948207152036e-24,Lap3,1,H,2
180.0,-10.037735021170882,1.6706869840140926e-22,TOG1,2,H,1
106.0,-10.174871743751883,4.291048361662466e-22,Cst6,1,E,10
57.0,-10.27701495734823,6.370453343745133e-22,Msn2,1,C,9
18.0,-10.052859213055775,1.5336301221206659e-21,Opi1,2,A,6
45.0,-9.933130644662503,3.22343426771292e-21,Sum1,1,B,4
94.0,-9.629578589276013,1.0314702269679322e-20,Tup1,1,D,3
164.0,-9.846797079887645,1.2282122963562308e-20,MSA2,2,G,8
152.0,-9.468237869276637,3.3908451820832797e-20,Cha4,1,G,8
105.0,-9.36781690820583,7.992354943736875e-20,Stp1,1,E,9
33.0,-9.369149959515987,1.5616257529338189e-19,Dig1,2,B,4
104.0,-9.246205969406297,1.9991331354464084e-19,Lys14,1,E,8
5.0,-9.187906532920685,6.879706244583494e-19,Tbs1,1,A,5
17.0,-9.140486100664726,1.9360065557627226e-18,Mal13,2,A,5
181.0,-8.973442362212735,2.014771819769485e-18,Gzf3,1,H,12
177.0,-8.926871579842635,5.19132832379384e-18,RDR1,2,H,4
64.0,-9.01047252493662,5.206177182159823e-18,Pog1,2,C,4
192.0,-8.915071342099829,5.342222470981115e-18,Ume1,1,H,1
30.0,-8.939211311171748,5.386210378496648e-18,Cbf1,2,B,7
153.0,-8.801778588733887,6.180241715693949e-18,Rim101,1,G,9
175.0,-8.865902922466889,7.420346254484133e-18,HAP4,2,H,6
162.0,-8.842476239674866,2.5184214939909805e-17,RDS2,2,G,6
46.0,-8.763426536967517,3.004678823477135e-17,Adr1,1,B,3
187.0,-8.53891470148057,8.189134913571709e-17,Tos4,1,H,6
42.0,-8.57622475026699,8.439404856419142e-17,Aro80,1,B,7
101.0,-8.909263366128812,9.647493537158204e-17,Rph1,1,E,5
89.0,-8.435769786636648,2.2135896346186838e-16,Swi6,1,D,8
50.0,-8.414553263092417,2.215902738303069e-16,Ume6,1,C,2
2.0,-8.78601277817092,2.4426024686968574e-16,Stb4,1,A,2
174.0,-8.285810126130503,5.442224681232218e-16,PUL4,2,H,7
88.0,-9.083620753913602,6.224965247449938e-16,Sok2,1,D,9
3.0,-8.467463663030248,7.699834372518817e-16,Fhl1,1,A,3
159.0,-8.256674356638946,1.0347233117754951e-15,MFG1,2,G,3
108.0,-8.19099503091911,1.137682388707637e-15,Yap1,1,E,12
173.0,-8.101546521756923,3.3655381648121898e-15,GSM1,2,H,8
154.0,-7.987721081315507,5.078968934122563e-15,Com2,1,G,10
93.0,-8.018356055002998,6.438747889436973e-15,Znf1,1,D,4
135.0,-7.93699651813741,1.0726408677028112e-14,Skn7,1,F,10
32.0,-7.900812599129161,2.4312633258796604e-14,Kar4,2,B,5
110.0,-7.998284643568507,2.6692782957100196e-14,Cup2,2,E,2
136.0,-7.710100813279624,3.518474966463843e-14,Rlm1,1,F,9
179.0,-7.664893971484361,7.790291119278343e-14,MSA1,2,H,2
65.0,-7.653563525164612,1.0677815244759434e-13,Hap2,2,C,5
156.0,-7.565316000378356,1.1239218508965694e-13,Rpn4,1,G,12
163.0,-7.456901130049623,2.464051499157412e-13,IMP2,2,G,7
172.0,-7.567196056587634,2.506703753128187e-13,ACA1,2,H,9
102.0,-7.4825417509881005,2.8529557079243214e-13,Gln3,1,E,6
168.0,-7.520129691262893,3.1597793235896486e-13,SIP4,2,G,12
184.0,-7.3728348929008956,3.8972894345414797e-13,Mth1,1,H,9
86.0,-7.401697895128057,7.515093689878539e-13,Haa1,1,D,11
107.0,-7.206997616392439,1.490511474050036e-12,Pho2,1,E,11
137.0,-7.435073873073769,2.5147973916690976e-12,Std1,1,F,8
48.0,-7.1717796658027835,3.001686519868787e-12,Spt7,1,B,1
158.0,-7.0707053934939506,4.920137024896832e-12,TOS9,2,G,2
40.0,-6.994655600694598,6.019512658061554e-12,Snf2,1,B,9
171.0,-6.911118108323382,1.1202424872568107e-11,DAL80,2,H,10
68.0,-6.954532657146924,1.2755394939414095e-11,Yap7,2,C,8
52.0,-6.946305857421123,1.2767095879679162e-11,Leu3,1,C,4
133.0,-6.84101603168649,1.69041379972237e-11,Ixr1,1,F,12
140.0,-6.786320680735993,2.083187149920392e-11,Sko1,1,F,5
190.0,-6.894391572135512,2.1664203463843172e-11,Stp4,1,H,3
60.0,-6.816257094057151,2.97128483031223e-11,Ecm22,1,C,12
100.0,-6.840956342160002,3.5384728712666925e-11,Bas1,1,E,4
178.0,-6.736393547435125,4.262122566126292e-11,MSN4,2,H,3
69.0,-6.764339254148714,5.4145761866147305e-11,Hap5,2,C,9
188.0,-6.583211420898492,9.234685911165235e-11,Stp2,1,H,5
10.0,-6.481404353176439,1.6576103999415283e-10,Pip2,1,A,10
66.0,-6.4905259107643,1.9090804190842145e-10,Yap5,2,C,6
38.0,-6.479488942374005,1.9525030177147714e-10,Pdr1,1,B,11
141.0,-6.459807925541929,2.0178464460077259e-10,Ndd1,1,F,4
92.0,-6.450627554045143,2.7042575674366605e-10,Upc2,1,D,5
183.0,-6.38223441081384,3.7498872021488384e-10,Mot3,1,H,10
130.0,-6.4026402157001545,4.57012854514347e-10,Dig2,2,F,3
132.0,-6.421136402577795,5.350979029863462e-10,Ras2,2,F,1
21.0,-6.445829643612174,6.677997450414239e-10,Cad1,2,A,9
142.0,-6.2497197986948025,6.765997829339699e-10,Rtg2,1,F,3
28.0,-6.299808826570472,7.578320643774327e-10,Ure2,2,B,9
14.0,-6.255509666605108,9.616264364077792e-10,Stb3,2,A,2
16.0,-6.220958466070287,1.2079389022951833e-09,Hog1,2,A,4
176.0,-6.197886484846789,1.494496431859891e-09,GCR2,2,H,5
149.0,-6.089695949621742,1.7581482635437502e-09,Snf1,1,G,5
12.0,-6.076408675892808,2.2180890164493395e-09,Ifh1,1,A,12
47.0,-6.081956037760277,2.2486493082743285e-09,Rgt1,1,B,2
90.0,-6.088385295532392,2.3179042864412758e-09,Yrr1,1,D,7
58.0,-5.9250010788653675,4.533827820584416e-09,Stb5,1,C,10
25.0,-6.01475846920563,4.9919745313209195e-09,Yap3,2,B,12
85.0,-5.9259361284467635,5.7273012163251404e-09,Hsf1,1,D,12
91.0,-5.938551445403452,6.0337821249871176e-09,Mbp1,1,D,6
37.0,-5.874347607344208,6.7549603895159636e-09,Hal9,1,B,12
147.0,-5.8622021761603165,7.880483044085812e-09,Mot2,1,G,3
118.0,-6.047764557052425,8.290065465098179e-09,Spt23,2,E,10
4.0,-5.976229005241132,8.672607554542802e-09,Msn5,1,A,4
160.0,-5.889347248200012,9.205764063079497e-09,ERT1,2,G,4
1.0,-5.8062147347592274,9.537310891181688e-09,Put3,1,A,1
109.0,-6.04855487790766,1.497922087945038e-08,Hac1,2,E,1
167.0,-5.914963590676047,1.6364424397573634e-08,RDS1,2,G,11
