,ttest,ttest_p,TF,TF Plate,Row,Col
123.0,-8.472740202507188,1.558918546403206e-16,YKL222C,2,F,10
104.0,-8.142465879717278,2.608220581984053e-15,Lys14,1,E,8
143.0,-44.93495541270624,9.617224385538367e-15,Met4,1,F,2
169.0,-7.971217652804371,1.0092591504930458e-14,HAP1,2,H,12
179.0,-7.439293673635575,3.9341341846642345e-13,MSA1,2,H,2
120.0,-7.252960323742617,1.2170772462632824e-12,Hpc2,2,E,12
152.0,-7.204200702368826,2.228408982532235e-12,Cha4,1,G,8
115.0,-7.222081770733071,2.241367456799414e-12,Rtg1,2,E,7
163.0,-7.134801284582569,3.761867725715154e-12,IMP2,2,G,7
168.0,-7.0295058175954255,6.2967990720847504e-12,SIP4,2,G,12
86.0,-7.020027311432496,6.847894031491219e-12,Haa1,1,D,11
31.0,-7.135357489902017,8.462436681833301e-12,Hms2,2,B,6
58.0,-6.9525859128263425,1.0409955279861053e-11,Stb5,1,C,10
160.0,-6.963202944374029,1.354360363959414e-11,ERT1,2,G,4
76.0,-7.822634895054299,2.593834868804546e-11,Met28,2,D,9
111.0,-6.596424932342693,8.889529863590554e-11,Arg80,2,E,3
108.0,-6.362268425022648,3.9253317405684765e-10,Yap1,1,E,12
47.0,-6.351135754275041,4.237721765220691e-10,Rgt1,1,B,2
125.0,-6.310334716203628,5.563781726411982e-10,SDD 4.00,2,F,8
167.0,-6.292227621481283,6.62232795489918e-10,RDS1,2,G,11
41.0,-6.092442665886647,2.330607382892553e-09,Pdc2,1,B,8
67.0,-6.090773063418853,3.460606363270058e-09,Tye7,2,C,7
75.0,-6.067231913259859,3.838669351328811e-09,Srd1,2,D,10
53.0,-6.3437891989917645,3.889183290733697e-09,Zap1,1,C,5
121.0,-5.924697037072959,4.90402797130444e-09,OAF3,2,F,12
156.0,-5.978732182700636,5.264221314411827e-09,Rpn4,1,G,12
103.0,-5.9362060400905765,5.282544309102712e-09,Pdr8,1,E,7
85.0,-5.8640018898931965,7.502286654344734e-09,Hsf1,1,D,12
78.0,-12.293330357327052,1.56337292332066e-08,Sub1,2,D,7
112.0,-5.707185448749354,1.6839039384619022e-08,Lsm1,2,E,4
136.0,-5.940553130555011,2.4110523006355785e-08,Rlm1,1,F,9
100.0,-5.638046007566206,2.621128919112133e-08,Bas1,1,E,4
99.0,-5.585685943975564,3.154505275182832e-08,Ace2,1,E,3
109.0,-5.547874926167728,3.976396057316785e-08,Hac1,2,E,1
84.0,-5.4072832715818,8.936002374335137e-08,Mcm1,2,D,1
93.0,-5.312405610973051,1.4499668958973747e-07,Znf1,1,D,4
51.0,-5.453259028609477,1.5094730830749378e-07,Rap1,1,C,3
116.0,-5.30490184934725,1.744326934581222e-07,Hms1,2,E,8
97.0,-5.257297257442169,1.7963453355676572e-07,Gis1,1,E,1
28.0,-5.332958930738867,2.459420067166376e-07,Ure2,2,B,9
22.0,-5.364585892062484,3.5270268196737135e-07,Msn1,2,A,10
117.0,-5.136453922850637,3.975893881966832e-07,Hap3,2,E,9
119.0,-5.042985319023882,6.396707341699186e-07,Pex2,2,E,11
165.0,-4.958338443619485,8.927159737318112e-07,OAF1,2,G,9
170.0,-4.958930288322604,9.533025517786761e-07,DAL82,2,H,11
77.0,-5.028215142860675,9.692161121209984e-07,Met31,2,D,8
142.0,-4.923255151293298,1.1422992797044297e-06,Rtg2,1,F,3
82.0,-4.890922783112437,1.3302282568642684e-06,Rme1,2,D,3
157.0,-4.879458727609031,1.5205361624452257e-06,RCS1,2,G,1
89.0,-4.8617862205641496,1.537609514962258e-06,Swi6,1,D,8
166.0,-4.841208231234335,1.7306498223933876e-06,GAL4,2,G,10
180.0,-4.870037552340479,1.7362529547019794e-06,TOG1,2,H,1
26.0,-4.94642408420691,1.7560854137609947e-06,Spt3,2,B,11
48.0,-4.921237387346398,1.7583147037403718e-06,Spt7,1,B,1
114.0,-4.754533433499592,2.4987512056284985e-06,Nrg1,2,E,6
135.0,-4.809567544952224,2.6785116654410265e-06,Skn7,1,F,10
126.0,-4.712466253889179,3.4049192884389573e-06,TDA9,2,F,7
158.0,-4.717526180265941,3.448376689535163e-06,TOS9,2,G,2
95.0,-4.598429553255575,5.160369543453763e-06,Hot1,1,D,2
92.0,-4.606191666646449,5.582335530794731e-06,Upc2,1,D,5
129.0,-4.5250234344031535,8.277560790178604e-06,Mss11,2,F,4
55.0,-4.466178373245935,9.921040613994688e-06,Fkh2,1,C,7
59.0,-4.424198140051611,1.1689619496597959e-05,Azf1,1,C,11
90.0,-4.417755212484329,1.1807650646682508e-05,Yrr1,1,D,7
124.0,-4.390460578373426,1.2843610802454726e-05,ZMS1,2,F,9
60.0,-4.399560777345896,1.3047350114040956e-05,Ecm22,1,C,12
42.0,-4.340528198824887,1.7316946659225637e-05,Aro80,1,B,7
38.0,-4.339390149915477,1.8015731043410827e-05,Pdr1,1,B,11
173.0,-4.238931302460212,2.8786957352379472e-05,GSM1,2,H,8
57.0,-4.218833719443571,2.9181900648663573e-05,Msn2,1,C,9
68.0,-4.206949528830292,3.1424512439123696e-05,Yap7,2,C,8
138.0,-4.361463398067378,3.222225341012941e-05,Tbf1,1,F,7
73.0,-4.164301213337481,3.9103533055733026e-05,Rgm1,2,D,12
27.0,-4.217024175414916,4.094198664910955e-05,Pho4,2,B,10
66.0,-4.15513928955815,4.244445255080981e-05,Yap5,2,C,6
50.0,-4.103503772478796,4.6159850597118446e-05,Ume6,1,C,2
132.0,-4.068053695055519,5.3740283687335244e-05,Ras2,2,F,1
159.0,-4.083605285704905,5.577120098714474e-05,MFG1,2,G,3
18.0,-4.088287762232566,6.774127592781852e-05,Opi1,2,A,6
74.0,-3.9894674676496034,8.870897359531252e-05,Met32,2,D,11
9.0,-3.936518923247119,0.00010421360659844037,Dal81,1,A,9
130.0,-3.907659147983164,0.0001180813071006469,Dig2,2,F,3
69.0,-3.862690690584083,0.00012704481747339113,Hap5,2,C,9
151.0,-3.928387036566043,0.00012844631242344394,Ste12,1,G,7
131.0,-3.8236702369441318,0.00014496711236669247,Pho23,2,F,2
98.0,-3.799004091017247,0.00015680732815882026,Abf1,1,E,2
101.0,-3.980661853391984,0.00017156970227797934,Rph1,1,E,5
105.0,-3.7862699821590473,0.00017637640662727198,Stp1,1,E,9
19.0,-3.8061790271544487,0.0002002057321018431,Gal80,2,A,7
43.0,-3.7646016967521736,0.00020594978032832458,Cyc8,1,B,6
33.0,-3.6934643521535926,0.0002526981379595864,Dig1,2,B,4
102.0,-3.6255825631386456,0.0003140842013097221,Gln3,1,E,6
110.0,-3.5886981734223,0.0003752365415293799,Cup2,2,E,2
139.0,-3.6980305819105603,0.0005168602378709801,Sfp1,1,F,6
178.0,-3.5722993083535415,0.0005506631785209461,MSN4,2,H,3
96.0,-3.3872961932143397,0.000757098242782018,Arg81,1,D,1
87.0,-3.319875358794156,0.0009976635839228038,Tea1,1,D,10
147.0,-3.3544340812752274,0.001042505321497202,Mot2,1,G,3
106.0,-3.3171221478546955,0.00107014093081039,Cst6,1,E,10
155.0,-3.2142519640976426,0.0016336065379468857,Gal3,1,G,11
72.0,-3.1387216890985346,0.0017762732451663077,Cup9,2,C,12
71.0,-3.1367353703510332,0.00181010530253015,Sut1,2,C,11
133.0,-2.991311611898922,0.0028719995926944236,Ixr1,1,F,12
134.0,-3.022190032931759,0.002954949836032002,Spt8,1,F,11
39.0,-2.977214123483576,0.003104035711552921,Gal11,1,B,10
190.0,-3.1864842253897243,0.0032778946775462656,Stp4,1,H,3
127.0,-2.909433140539951,0.004026518816420382,GIN1,2,F,6
162.0,-2.854371952718746,0.005572490792737354,RDS2,2,G,6
174.0,-2.7878256868874622,0.005929536096143752,PUL4,2,H,7
140.0,-2.8022864613148974,0.006024718783124618,Sko1,1,F,5
150.0,-2.7418315661530874,0.006395571647700984,Hcm1,1,G,6
94.0,-2.719749589349592,0.0066886937911871365,Tup1,1,D,3
62.0,-2.717388775508601,0.006758517587061029,Rox1,2,C,2
118.0,-2.6711858686402903,0.007736850210314293,Spt23,2,E,10
88.0,-2.587887642141476,0.010324314492178167,Sok2,1,D,9
172.0,-2.4474131805778043,0.014879433144086712,ACA1,2,H,9
153.0,-2.423471447045798,0.01646748217373246,Rim101,1,G,9
