field-of-view,high,low,high/low ratio,TF,TF Plate,Row,Col,z_scores,p_scores
54,1.289360882168905,1.068692406780414,1.2064845543848168,Reb1,1,C,6,6.898467917303029,5.256635807446171e-12
30,1.5205057790399803,1.3101904224766527,1.1605227400195526,Cbf1,2,B,7,4.955362472980824,7.219557257700588e-07
43,1.776502106253797,1.543366131470662,1.1510568166744604,Cyc8,1,B,6,4.555176200062797,5.234168531003482e-06
36,1.2365450482455511,1.1166606141386328,1.107359776631322,Wtm1,2,B,1,2.7078175267560023,0.006772724859249884
62,1.2120612565619797,1.1005401429987687,1.1013330720125634,Rox1,2,C,2,2.4530294441323157,0.014165874280134423
138,1.2093540420823732,1.1008363630002087,1.0985774841107279,Tbf1,1,F,7,2.3365327842787056,0.019463491003960973
101,1.1632033982096577,1.0603953113038196,1.0969526041938353,Rph1,1,E,5,2.2678385202143643,0.02333905065288062
39,1.2768823435173058,1.1658875682872245,1.095201954501617,Gal11,1,B,10,2.193827148056233,0.02824783834394641
99,1.1225881782598195,1.126470308046858,0.9965537220472596,Ace2,1,E,3,-1.9766765668643391,0.04807820122050903
88,1.159923774229887,1.0646464114734542,1.0894920245159803,Sok2,1,D,9,1.9524311937186616,0.0508870325743014
183,1.2011292854489506,1.1072935591735573,1.0847433144517058,Mot3,1,H,10,1.7516722701028682,0.07983017771708914
151,1.1630157539357953,1.0758546874664847,1.0810156496827326,Ste12,1,G,7,1.5940795856705914,0.11091821063074539
137,1.1209810478613016,1.0394019392489895,1.0784865849598628,Std1,1,F,8,1.487159536931929,0.13697268006652302
191,1.1993834948835853,1.1138449866023707,1.076795702552954,Lap3,1,H,2,1.4156749174505823,0.1568707054147106
106,1.2091255151910414,1.125528648868369,1.0742734237877665,Cst6,1,E,10,1.309041755369885,0.19052020704074446
1,1.0864320787480135,1.0713918476346913,1.0140380302001797,Put3,1,A,1,-1.2375009091726787,0.215901177011962
89,1.1094219971927528,1.093265485075705,1.01477821474985,Swi6,1,D,8,-1.2062084841861949,0.22773711342587277
4,1.0792040414782431,1.060847637271515,1.0173035255599385,Msn5,1,A,4,-1.0994471378065138,0.2715730796069915
56,1.0913243770740624,1.0726880032155115,1.0173735268807762,Yrm1,1,C,8,-1.0964877257487464,0.27286539191576964
53,1.0788000406026466,1.060076619322527,1.017662328306123,Zap1,1,C,5,-1.0842782072676065,0.27824146482411705
10,1.0871627978249145,1.0679360319376678,1.0180036681151787,Pip2,1,A,10,-1.0698475488939174,0.2846879355808982
9,1.0821669899717126,1.0626120158565102,1.0184027413801078,Dal81,1,A,9,-1.0529761210689723,0.29235193631823797
38,1.1089602605839617,1.0888929749919136,1.0184290706735408,Pdr1,1,B,11,-1.0518630102372648,0.29286240490803206
40,1.0986056510202755,1.077131635152585,1.0199362967040222,Snf2,1,B,9,-0.9881427427478712,0.3230827450851007
14,1.251736058108639,1.1742468183221602,1.0659905895229083,Stb3,2,A,2,0.9588723685271435,0.33762304626204453
169,1.0392408331202954,1.0174351843065883,1.0214319783216148,HAP1,2,H,12,-0.9249105328307345,0.35501244731155157
6,1.0793219298567316,1.0566625136602608,1.0214443267396502,War1,1,A,6,-0.9243884847209116,0.35528408795709665
93,1.101325181854183,1.0781562909071,1.0214893621105618,Znf1,1,D,4,-0.9224845460793695,0.35627588760086326
47,1.09464705839106,1.0704299456808593,1.0226237249881842,Rgt1,1,B,2,-0.8745276341561788,0.3818309777960851
150,1.1265947927346518,1.058863417806089,1.0639661110107088,Hcm1,1,G,6,0.8732844674990018,0.3825080445688309
13,1.1040420620652864,1.0795644975722445,1.0226735545195196,Gat1,2,A,1,-0.8724210151081078,0.3829787400965329
85,1.1276069482725288,1.0599568788113305,1.0638234166064031,Hsf1,1,D,12,0.8672518450338133,0.38580403519072126
15,1.0872771017835123,1.0628307267095152,1.02300119337882,Uga3,2,A,3,-0.8585695851750218,0.3905780242742999
29,1.0934461657426047,1.0685609550760147,1.0232885270123122,Phd1,2,B,8,-0.8464221198217448,0.3973173030535876
23,1.1048332285332054,1.0791112030133254,1.0238363066272071,Mac1,2,A,11,-0.8232639054063562,0.41035793476784754
52,1.0863030397942615,1.0609961205754646,1.0238520374655762,Leu3,1,C,4,-0.8225988603444772,0.4107361469670012
57,1.213811548738364,1.142338486265428,1.0625673242495735,Msn2,1,C,9,0.8141486346659517,0.41555980716932894
145,1.12148317410164,1.0557035358477276,1.0623088168413601,Crz1,1,G,1,0.8032198417269911,0.42184767909735466
12,1.0953307003908517,1.0692258738406064,1.0244146977630442,Ifh1,1,A,12,-0.7988115424935033,0.4243996966447653
48,1.0915877059142383,1.065561844161648,1.0244245436294377,Spt7,1,B,1,-0.7983952935516909,0.4246411336121001
55,1.105275491443217,1.0785882421937507,1.0247427592898537,Fkh2,1,C,7,-0.7849422436501134,0.4324874325819825
136,1.1253026217437192,1.0598945790386225,1.0617118381381148,Rlm1,1,F,9,0.7779816611973476,0.43657982452588295
84,1.1246303135709983,1.0593473943458591,1.0616256004154814,Mcm1,2,D,1,0.7743358306167011,0.4387322200856967
152,1.1163235023815765,1.051573773026031,1.0615741196827497,Cha4,1,G,8,0.7721594045240845,0.4400200219108724
83,1.10991780623997,1.0458523304202525,1.0612567127846568,Cin5,2,D,2,0.7587405462769252,0.44800777701902283
141,1.1018088640614734,1.074245445913459,1.025658398881623,Ndd1,1,F,4,-0.7462321905250446,0.45552716563366
7,1.1278127187794984,1.0995878778167432,1.0256685632246112,Gcr1,1,A,7,-0.7458024775019398,0.45578674313394674
139,1.1070245604429876,1.0435356383938361,1.0608402048892847,Sfp1,1,F,6,0.7411320429948506,0.4586133826809837
50,1.1890111420975669,1.1216895933676863,1.0600179845903348,Ume6,1,C,2,0.7063714322272932,0.47995718174878754
94,1.1076279665845554,1.0789082246260273,1.0266192631615938,Tup1,1,D,3,-0.7056101950827371,0.48043058239037795
42,1.114634787875998,1.0855570110332948,1.0267860430609952,Aro80,1,B,7,-0.6985593217652714,0.48482747284812067
164,1.102988878618166,1.04075916376541,1.0597926177537678,MSA2,2,G,8,0.6968437072418746,0.4859006099414399
170,1.0515950911668637,1.023999822288018,1.0269485094413269,DAL82,2,H,11,-0.6916908090117714,0.48913152010179195
79,1.1124748729089464,1.0832311101812298,1.026996789930474,Hmo1,2,D,6,-0.6896496780727128,0.4904145185806871
90,1.1061198020710097,1.0769482570180005,1.0270872299229894,Yrr1,1,D,7,-0.6858261901563164,0.4928227187877795
11,1.1138565723110676,1.0844341337960768,1.0271316049523425,Pdr3,1,A,11,-0.683950168456158,0.49400663300029
41,1.1780613361245398,1.1119686506675133,1.0594375438708197,Pdc2,1,B,8,0.6818324200544289,0.49534492173928246
98,1.1067491885576366,1.0770015133621462,1.02762082952198,Abf1,1,E,2,-0.6632674574299094,0.5071592747206501
173,1.0752666149075754,1.046119528730911,1.0278620992880458,GSM1,2,H,8,-0.6530674119689706,0.5137128200926284
113,1.0818786839606505,1.05249340580594,1.0279196791092566,Nrg2,2,E,5,-0.6506331376561977,0.5152833338559142
2,1.0989397964107575,1.0690667178489481,1.0279431377509503,Stb4,1,A,2,-0.6496413879826747,0.515923892145544
37,1.1052354933338124,1.0751579360679093,1.0279750130254384,Hal9,1,B,12,-0.648293812386444,0.5167949353098622
22,1.085806448859394,1.0560219695768072,1.0282044125412682,Msn1,2,A,10,-0.6385955997660429,0.5230860445731282
76,1.092735600772183,1.0627510089999246,1.0282141268447014,Met28,2,D,9,-0.6381849128480097,0.5233533170768503
16,1.1243025931262323,1.0625148862080669,1.0581523211770474,Hog1,2,A,4,0.6274976804902147,0.5303330561379214
32,1.10107197412677,1.0705456701012783,1.02851471439103,Kar4,2,B,5,-0.6254771182182115,0.5316579616409057
168,1.0578937276550582,1.0285573143588695,1.0285219043087306,SIP4,2,G,12,-0.6251731535375066,0.5318574197819516
18,1.1889680736168495,1.1237980145654693,1.0579909006838555,Opi1,2,A,6,0.6206733842025686,0.5348145449464297
59,1.1762009031464584,1.1117433237568943,1.0579788319949102,Azf1,1,C,11,0.6201631620644884,0.535150371702351
19,1.099873577818296,1.0691378249051144,1.02874816716536,Gal80,2,A,7,-0.615607547944339,0.5381535684435047
26,1.0859842050003958,1.0549849812771763,1.0293835687458712,Spt3,2,B,11,-0.5887449819757641,0.5560323580882258
182,1.086081757486833,1.054739284872239,1.0297158483277606,Hfi1,1,H,11,-0.5746973584534345,0.5654959942802382
49,1.097043311893798,1.0649535917487272,1.0301325056732071,Sfl1,1,C,1,-0.557082536942694,0.5774710383272328
117,1.096982607885828,1.0648626303738178,1.0301634939529567,Hap3,2,E,9,-0.555772460394953,0.5783664142586828
44,1.0951419423800464,1.0630495492632317,1.0301889908509505,Cat8,1,B,5,-0.5546945403435085,0.5791036112015528
178,1.0679857635362557,1.0366416831964336,1.0302361759592515,MSN4,2,H,3,-0.5526997182918365,0.5804690462928934
131,1.1377948693120985,1.0773327651543956,1.0561220322200429,Pho23,2,F,2,0.5416641340912233,0.5880499016796877
92,1.1036597392343037,1.0709918875737594,1.0305024268060055,Upc2,1,D,5,-0.5414435597387504,0.588201889927197
91,1.096005975510159,1.063517602392781,1.0305480351658338,Mbp1,1,D,6,-0.5395153971213043,0.5895312757419775
60,1.1306403810133177,1.097032981081121,1.0306348127283071,Ecm22,1,C,12,-0.5358467439922762,0.5920644733508988
