field-of-view,high,low,high/low ratio,TF,TF Plate,Row,Col
99,1.1028723649835916,1.1009843242498434,1.0017148661358415,Ace2,1,E,3
86,1.075675249765024,1.0730126417761527,1.0024814320775044,Haa1,1,D,11
16,1.0578622211409334,1.0506283865119221,1.006885245746146,Hog1,2,A,4
104,1.0825637468068652,1.073491385403213,1.0084512661461595,Lys14,1,E,8
20,1.074210633242793,1.0628913983033816,1.010649474591176,Mig3,2,A,8
10,1.0667160388005428,1.0542431896814128,1.011831092902672,Pip2,1,A,10
72,1.0769295421315712,1.064163786507625,1.0119960440167213,Cup9,2,C,12
92,1.0699765933707173,1.0561221919304944,1.0131181804019271,Upc2,1,D,5
91,1.0684620847343256,1.054133404456594,1.0135928528753133,Mbp1,1,D,6
98,1.0840262537750565,1.0694598277122935,1.013620358320445,Abf1,1,E,2
6,1.0644166023889645,1.0500239065318937,1.0137070173045948,War1,1,A,6
52,1.0690796898109307,1.0545796552460636,1.013749586854569,Leu3,1,C,4
90,1.08710283589623,1.0716665184128213,1.014404030748549,Yrr1,1,D,7
94,1.078832512809799,1.0619692270680046,1.0158792602572415,Tup1,1,D,3
108,1.0923757915251362,1.0750482064248437,1.0161179610335027,Yap1,1,E,12
56,1.0779813932285087,1.0604619565629902,1.016520570641025,Yrm1,1,C,8
53,1.0714290185670512,1.0539804418788292,1.0165549340338025,Zap1,1,C,5
105,1.0929598652459833,1.0750262750207875,1.016682001772328,Stp1,1,E,9
140,1.0814586421451793,1.0635934597361616,1.01679700288252,Sko1,1,F,5
84,1.0797485810685428,1.0618473743671724,1.0168585496687215,Mcm1,2,D,1
19,1.0691873360025734,1.0514076557058671,1.0169103584135213,Gal80,2,A,7
100,1.089346581382015,1.071118526298063,1.017017775938346,Bas1,1,E,4
9,1.070923827202556,1.052940799751977,1.0170788589964554,Dal81,1,A,9
2,1.080723945225952,1.0624777547087738,1.017173244744479,Stb4,1,A,2
47,1.0701990861947555,1.0519143538357583,1.0173823394388741,Rgt1,1,B,2
31,1.0806766655893352,1.0621248976331414,1.0174666538723787,Hms2,2,B,6
119,1.0906652620639112,1.0718771220815235,1.0175282591589436,Pex2,2,E,11
142,1.095653896766938,1.0766555126198891,1.017645740837586,Rtg2,1,F,3
141,1.0922360538923617,1.072815399704957,1.0181025125037781,Ndd1,1,F,4
149,1.09199166717877,1.0723332264707226,1.0183323991300237,Snf1,1,G,5
117,1.0913383567528414,1.071622775083416,1.0183978748192346,Hap3,2,E,9
135,1.09171770403514,1.0718130528263259,1.0185710102674401,Skn7,1,F,10
89,1.0922440881769315,1.0722817097086976,1.018616729435455,Swi6,1,D,8
67,1.0875069303357023,1.067527387581809,1.0187157191340557,Tye7,2,C,7
38,1.0951956591629788,1.0749827843573534,1.0188029753590044,Pdr1,1,B,11
32,1.0821736618490714,1.062126735105982,1.018874326462641,Kar4,2,B,5
49,1.0741158918294282,1.0540068853743454,1.0190786291191456,Sfl1,1,C,1
37,1.0790804748262384,1.0586183975588677,1.0193290399208585,Hal9,1,B,12
68,1.1063422150249602,1.0851158868587876,1.019561346786304,Yap7,2,C,8
132,1.0819743376404143,1.0609457950366379,1.0198205626547114,Ras2,2,F,1
116,1.0937844793164035,1.072363577020654,1.0199754101638394,Hms1,2,E,8
121,1.0868554411442803,1.0655497729009014,1.0199950005013614,OAF3,2,F,12
80,1.0905686662628469,1.0688299600783664,1.0203387882043338,Gcn4,2,D,5
