field-of-view,high,low,high/low ratio,TF,TF Plate,Row,Col,z_scores,p_scores
22,1.1367322267474043,1.0905182655529706,1.0423779799515782,Msn1,2,A,10,2.9747115877533927,0.002932641301233876
5,1.2192678377910846,1.1758332891735617,1.0369393765404031,Tbs1,1,A,5,2.1514480766163304,0.03144084996345504
4,1.1973774960600474,1.162652109597917,1.0298673921248374,Msn5,1,A,4,1.0809330416898677,0.2797268995155404
11,1.093792515660129,1.0761220106538498,1.016420540451117,Pdr3,1,A,11,-0.954571569640923,0.3397944002096276
15,1.1113106299238034,1.0930663928882463,1.016690877291863,Uga3,2,A,3,-0.9136495828961442,0.3609010038583276
18,1.0982517062962818,1.0798305686028964,1.017059285251777,Opi1,2,A,6,-0.8578821720960785,0.3909575294381432
14,1.1064398261923776,1.0871462100455391,1.0177470297633933,Stb3,2,A,2,-0.7537754890761273,0.4509840443182962
8,1.0936503725473437,1.0744788524501658,1.0178426220799603,Swi4,1,A,8,-0.7393052914490974,0.4597216369256646
20,1.0901024678507538,1.0707255869818963,1.0180969625686036,Mig3,2,A,8,-0.7008047375615833,0.4834248810874353
16,1.0935047404514384,1.0739517818829722,1.0182065516332435,Hog1,2,A,4,-0.6842157952694752,0.493838909591059
6,1.104876152948163,1.0758853811726157,1.0269459668128869,War1,1,A,6,0.6387050140129238,0.5230148502809795
3,1.0979262882389829,1.077778906974302,1.018693426948985,Fhl1,1,A,3,-0.610515499142045,0.5415203794987975
1,1.106173419353322,1.0780934650346516,1.0260459368592572,Put3,1,A,1,0.5024638205051921,0.6153412958150972
13,1.111967752851802,1.0903804732020501,1.0197979330887665,Gat1,2,A,1,-0.4433219139579017,0.6575329073715195
9,1.1116267569387976,1.0898979620030584,1.0199365405691787,Dal81,1,A,9,-0.4223403360845249,0.672776620409545
17,1.1128808290651564,1.085456611408794,1.0252651440583784,Mal13,2,A,5,0.38427203961505413,0.7007768292392542
19,1.1160760842669246,1.093646977324563,1.0205085438056356,Gal80,2,A,7,-0.3357538804772531,0.7370564711959209
21,1.1177561840085182,1.0946872894379802,1.0210735018055994,Cad1,2,A,9,-0.25023389096312765,0.8024064775673672
10,1.1064639887580587,1.0805141781671002,1.0240161685198594,Pip2,1,A,10,0.195209534146709,0.8452289154741208
7,1.1382743213064788,1.1139644082372147,1.0218228813142542,Gcr1,1,A,7,-0.13679726784005114,0.8911910432895698
12,1.1094078969808108,1.0854322628605417,1.0220885585776525,Ifh1,1,A,12,-0.09658062026374988,0.9230594473248279
2,1.1226982074521306,1.0979486388709023,1.0225416451234732,Stb4,1,A,2,-0.027995067620782625,0.9776660850749966
