,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area
Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170002,511.0,533.0,564.0,548.0,575.0,588.0,643.0,555.0,552.0,528.0,595.0,557.0,522.0,559.0,566.0,567.0,620.0,541.0,621.0,502.0,556.0,588.0,699.0,553.0,533.0,549.0,498.0,576.0,444.0,439.0,455.0,411.0,351.0,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
170004,406.0,488.0,509.0,560.0,548.0,456.0,450.0,402.0,496.0,500.0,497.0,514.0,412.0,503.0,505.0,490.0,545.0,520.0,529.0,514.0,508.0,527.0,529.0,548.0,612.0,567.0,550.0,540.0,564.0,565.0,484.0,454.0,387.0,429.0,456.0,363.0,341.0,389.0,423.0,435.0,382.0,372.0,397.0,451.0,394.0,415.0,447.0,371.0,521.0,448.0,455.0,470.0,,,,,,,,,
170006,565.0,657.0,631.0,646.0,569.0,596.0,642.0,546.0,648.0,658.0,667.0,474.0,393.0,545.0,546.0,527.0,291.0,336.0,309.0,275.0,269.0,379.0,395.0,424.0,467.0,387.0,307.0,345.0,376.0,382.0,339.0,510.0,499.0,528.0,469.0,458.0,613.0,558.0,527.0,547.0,560.0,594.0,534.0,505.0,529.0,537.0,553.0,555.0,549.0,592.0,613.0,536.0,497.0,425.0,465.0,421.0,458.0,406.0,435.0,437.0,508.0
170008,414.0,30.0,75.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170010,177.0,258.0,247.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170012,276.0,272.0,281.0,335.0,398.0,341.0,341.0,280.0,407.0,351.0,377.0,359.0,476.0,392.0,388.0,419.0,450.0,461.0,451.0,424.0,499.0,327.0,336.0,412.0,415.0,377.0,402.0,459.0,421.0,442.0,507.0,570.0,486.0,524.0,435.0,334.0,436.0,386.0,524.0,498.0,,,,,,,,,,,,,,,,,,,,,
170013,444.0,423.0,404.0,409.0,523.0,420.0,442.0,410.0,408.0,368.0,362.0,354.0,411.0,322.0,319.0,487.0,525.0,497.0,543.0,577.0,530.0,458.0,483.0,426.0,558.0,492.0,524.0,443.0,424.0,392.0,369.0,285.0,237.0,427.0,449.0,675.0,508.0,539.0,557.0,563.0,651.0,569.0,589.0,586.0,608.0,671.0,651.0,435.0,369.0,405.0,443.0,407.0,417.0,399.0,404.0,393.0,118.0,311.0,234.0,330.0,123.0
170015,7.0,220.0,207.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170016,24.0,76.0,138.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170017,303.0,444.0,451.0,494.0,475.0,449.0,477.0,436.0,470.0,426.0,447.0,369.0,448.0,365.0,497.0,486.0,418.0,463.0,401.0,523.0,581.0,402.0,408.0,433.0,502.0,425.0,423.0,582.0,533.0,433.0,476.0,406.0,433.0,455.0,505.0,469.0,528.0,472.0,483.0,400.0,462.0,396.0,364.0,379.0,401.0,361.0,349.0,392.0,373.0,394.0,426.0,449.0,391.0,391.0,388.0,376.0,413.0,380.0,422.0,413.0,427.0
170018,543.0,471.0,509.0,469.0,501.0,448.0,494.0,477.0,458.0,311.0,412.0,448.0,526.0,472.0,478.0,336.0,385.0,382.0,202.0,225.0,290.0,289.0,301.0,311.0,291.0,338.0,232.0,208.0,255.0,255.0,156.0,236.0,234.0,332.0,357.0,464.0,453.0,430.0,394.0,413.0,263.0,345.0,277.0,275.0,316.0,501.0,376.0,343.0,291.0,387.0,372.0,399.0,293.0,378.0,408.0,359.0,396.0,392.0,376.0,402.0,384.0
170019,487.0,598.0,495.0,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170020,314.0,322.0,274.0,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170022,337.0,388.0,360.0,392.0,35.0,30.0,41.0,86.0,154.0,158.0,166.0,169.0,255.0,219.0,213.0,244.0,241.0,242.0,246.0,261.0,278.0,394.0,318.0,343.0,409.0,404.0,359.0,345.0,421.0,401.0,359.0,397.0,406.0,454.0,448.0,531.0,327.0,470.0,425.0,409.0,,,,,,,,,,,,,,,,,,,,,
170024,429.0,410.0,394.0,391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170029,408.0,456.0,464.0,492.0,444.0,480.0,418.0,422.0,452.0,404.0,407.0,442.0,487.0,436.0,430.0,424.0,463.0,524.0,432.0,426.0,424.0,462.0,475.0,367.0,381.0,368.0,391.0,334.0,361.0,306.0,345.0,347.0,328.0,332.0,365.0,380.0,345.0,436.0,383.0,446.0,,,,,,,,,,,,,,,,,,,,,
170031,448.0,398.0,398.0,409.0,400.0,424.0,464.0,564.0,428.0,497.0,474.0,457.0,602.0,472.0,450.0,553.0,450.0,401.0,394.0,328.0,331.0,333.0,480.0,353.0,223.0,326.0,383.0,307.0,346.0,354.0,358.0,366.0,386.0,358.0,363.0,357.0,373.0,409.0,399.0,304.0,131.0,276.0,213.0,215.0,232.0,242.0,205.0,151.0,207.0,241.0,199.0,232.0,205.0,236.0,244.0,249.0,279.0,291.0,311.0,410.0,332.0
170034,631.0,454.0,473.0,482.0,485.0,502.0,462.0,514.0,480.0,475.0,460.0,457.0,445.0,390.0,471.0,497.0,474.0,461.0,499.0,535.0,452.0,410.0,489.0,374.0,433.0,460.0,414.0,451.0,509.0,479.0,525.0,461.0,555.0,515.0,565.0,471.0,313.0,323.0,203.0,99.0,37.0,174.0,354.0,351.0,353.0,364.0,346.0,383.0,285.0,343.0,366.0,379.0,304.0,378.0,379.0,356.0,378.0,329.0,310.0,337.0,341.0
170036,587.0,395.0,377.0,398.0,366.0,441.0,357.0,452.0,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170037,316.0,271.0,289.0,306.0,342.0,352.0,315.0,279.0,411.0,236.0,273.0,239.0,384.0,473.0,418.0,367.0,438.0,394.0,389.0,439.0,420.0,5.0,7.0,5.0,130.0,12.0,46.0,46.0,27.0,86.0,1.0,71.0,5.0,6.0,40.0,65.0,70.0,42.0,109.0,157.0,215.0,191.0,220.0,278.0,283.0,275.0,275.0,338.0,326.0,399.0,403.0,379.0,368.0,328.0,433.0,396.0,443.0,392.0,366.0,409.0,352.0
170038,608.0,488.0,469.0,503.0,546.0,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170043,62.0,27.0,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170049,464.0,626.0,639.0,638.0,681.0,670.0,636.0,680.0,628.0,673.0,672.0,695.0,768.0,617.0,629.0,597.0,477.0,541.0,624.0,472.0,403.0,423.0,392.0,390.0,237.0,174.0,43.0,118.0,40.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170055,,103.0,169.0,237.0,250.0,353.0,390.0,383.0,411.0,344.0,378.0,364.0,434.0,395.0,358.0,459.0,430.0,410.0,389.0,402.0,412.0,436.0,429.0,442.0,453.0,398.0,412.0,441.0,485.0,430.0,384.0,486.0,501.0,485.0,467.0,505.0,461.0,536.0,509.0,557.0,,,,,,,,,,,,,,,,,,,,,
170057,,19.0,10.0,12.0,2.0,13.0,18.0,18.0,5.0,8.0,5.0,12.0,92.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170061,,,146.0,182.0,289.0,307.0,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
