TF,TF Plate,Row,Col,image-index
Put3,1,A,1,1
Stb4,1,A,2,3
Fhl1,1,A,3,5
Msn5,1,A,4,7
Tbs1,1,A,5,9
War1,1,A,6,11
Gcr1,1,A,7,13
Swi4,1,A,8,15
Dal81,1,A,9,17
Pip2,1,A,10,19
Pdr3,1,A,11,21
Ifh1,1,A,12,23
Spt7,1,B,1,48
Rgt1,1,B,2,46
Adr1,1,B,3,44
Sum1,1,B,4,42
Cat8,1,B,5,40
Cyc8,1,B,6,38
Aro80,1,B,7,36
Pdc2,1,B,8,34
Snf2,1,B,9,32
Gal11,1,B,10,30
Pdr1,1,B,11,28
Hal9,1,B,12,26
Sfl1,1,C,1,49
Ume6,1,C,2,51
Rap1,1,C,3,53
Leu3,1,C,4,55
Zap1,1,C,5,57
Reb1,1,C,6,59
Fkh2,1,C,7,61
Yrm1,1,C,8,63
Msn2,1,C,9,65
Stb5,1,C,10,67
Azf1,1,C,11,69
Ecm22,1,C,12,71
Arg81,1,D,1,96
Hot1,1,D,2,94
Tup1,1,D,3,92
Znf1,1,D,4,90
Upc2,1,D,5,88
Mbp1,1,D,6,86
Yrr1,1,D,7,84
Swi6,1,D,8,82
Sok2,1,D,9,80
Tea1,1,D,10,78
Haa1,1,D,11,76
Hsf1,1,D,12,74
Gis1,1,E,1,97
Abf1,1,E,2,99
Ace2,1,E,3,101
Bas1,1,E,4,103
Rph1,1,E,5,105
Gln3,1,E,6,107
Pdr8,1,E,7,109
Lys14,1,E,8,111
Stp1,1,E,9,113
Cst6,1,E,10,115
Pho2,1,E,11,117
Yap1,1,E,12,119
Xbp1,1,F,1,144
Met4,1,F,2,142
Rtg2,1,F,3,140
Ndd1,1,F,4,138
Sko1,1,F,5,136
Sfp1,1,F,6,134
Tbf1,1,F,7,132
Std1,1,F,8,130
Rlm1,1,F,9,128
Skn7,1,F,10,126
Spt8,1,F,11,124
Ixr1,1,F,12,122
Crz1,1,G,1,145
Dot6,1,G,2,147
Mot2,1,G,3,149
Spt10,1,G,4,151
Snf1,1,G,5,153
Hcm1,1,G,6,155
Ste12,1,G,7,157
Cha4,1,G,8,159
Rim101,1,G,9,161
Com2,1,G,10,163
Gal3,1,G,11,165
Rpn4,1,G,12,167
Ume1,1,H,1,192
Lap3,1,H,2,190
Stp4,1,H,3,188
Rtg3,1,H,4,186
Stp2,1,H,5,184
Tos4,1,H,6,182
Tec1,1,H,7,180
Mig1,1,H,8,178
Mth1,1,H,9,176
Mot3,1,H,10,174
Hfi1,1,H,11,172
Gzf3,1,H,12,170
Gat1,2,A,1,2
Stb3,2,A,2,4
Uga3,2,A,3,6
Hog1,2,A,4,8
Mal13,2,A,5,10
Opi1,2,A,6,12
Gal80,2,A,7,14
Mig3,2,A,8,16
Cad1,2,A,9,18
Msn1,2,A,10,20
Mac1,2,A,11,22
Yox1,2,A,12,24
Wtm1,2,B,1,47
Bcy1,2,B,2,45
Mig2,2,B,3,43
Dig1,2,B,4,41
Kar4,2,B,5,39
Hms2,2,B,6,37
Cbf1,2,B,7,35
Phd1,2,B,8,33
Ure2,2,B,9,31
Pho4,2,B,10,29
Spt3,2,B,11,27
Yap3,2,B,12,25
Yhp1,2,C,1,50
Rox1,2,C,2,52
Mal33,2,C,3,54
Pog1,2,C,4,56
Hap2,2,C,5,58
Yap5,2,C,6,60
Tye7,2,C,7,62
Yap7,2,C,8,64
Hap5,2,C,9,66
Ino2,2,C,10,68
Sut1,2,C,11,70
Cup9,2,C,12,72
Mcm1,2,D,1,95
Cin5,2,D,2,93
Rme1,2,D,3,91
Fzf1,2,D,4,89
Gcn4,2,D,5,87
Hmo1,2,D,6,85
Sub1,2,D,7,83
Met31,2,D,8,81
Met28,2,D,9,79
Srd1,2,D,10,77
Met32,2,D,11,75
Rgm1,2,D,12,73
Hac1,2,E,1,98
Cup2,2,E,2,100
Arg80,2,E,3,102
Lsm1,2,E,4,104
Nrg2,2,E,5,106
Nrg1,2,E,6,108
Rtg1,2,E,7,110
Hms1,2,E,8,112
Hap3,2,E,9,114
Spt23,2,E,10,116
Pex2,2,E,11,118
Hpc2,2,E,12,120
Ras2,2,F,1,143
Pho23,2,F,2,141
Dig2,2,F,3,139
Mss11,2,F,4,137
Rfx1,2,F,5,135
GIN1,2,F,6,133
TDA9,2,F,7,131
SDD 4.00,2,F,8,129
ZMS1,2,F,9,127
YKL222C,2,F,10,125
URC2,2,F,11,123
OAF3,2,F,12,121
RCS1,2,G,1,146
TOS9,2,G,2,148
MFG1,2,G,3,150
ERT1,2,G,4,152
TOD6,2,G,5,154
RDS2,2,G,6,156
IMP2,2,G,7,158
MSA2,2,G,8,160
OAF1,2,G,9,162
GAL4,2,G,10,164
RDS1,2,G,11,166
SIP4,2,G,12,168
TOG1,2,H,1,191
MSA1,2,H,2,189
MSN4,2,H,3,187
RDR1,2,H,4,185
GCR2,2,H,5,183
HAP4,2,H,6,181
PUL4,2,H,7,179
GSM1,2,H,8,177
ACA1,2,H,9,175
DAL80,2,H,10,173
DAL82,2,H,11,171
HAP1,2,H,12,169
